t:0.0196,S:4.363839142785552,Sloc:4.363839142785552,Sloc(species):0.0,Sum:4.363839142785552
t:0.0197,S:4.363772411989706,Sloc:4.363772411989706,Sloc(species):0.0,Sum:4.363772411989706
t:0.0198,S:4.363772411989706,Sloc:4.363772411989706,Sloc(species):0.0,Sum:4.363772411989706
t:0.0199,S:4.363772411989706,Sloc:4.363772411989706,Sloc(species):0.0,Sum:4.363772411989706
t:0.02,S:4.364040362073415,Sloc:4.364040362073415,Sloc(species):0.0,Sum:4.364040362073415
t:0.0201,S:4.364040362073415,Sloc:4.364040362073415,Sloc(species):0.0,Sum:4.364040362073415
t:0.0202,S:4.364040362073415,Sloc:4.364040362073415,Sloc(species):0.0,Sum:4.364040362073415
t:0.0203,S:4.364040362073415,Sloc:4.364040362073415,Sloc(species):0.0,Sum:4.364040362073415
t:0.0204,S:4.364040362073415,Sloc:4.364040362073415,Sloc(species):0.0,Sum:4.364040362073415
t:0.0205,S:4.364040362073415,Sloc:4.364040362073415,Sloc(species):0.0,Sum:4.364040362073415
t:0.0206,S:4.364040362073415,Sloc:4.364040362073415,Sloc(species):0.0,Sum:4.364040362073415
t:0.0207,S:4.364040362073415,Sloc:4.364040362073415,Sloc(species):0.0,Sum:4.364040362073415
t:0.0208,S:4.364040362073415,Sloc:4.364040362073415,Sloc(species):0.0,Sum:4.364040362073415
t:0.0209,S:4.364219986586925,Sloc:4.364219986586925,Sloc(species):0.0,Sum:4.364219986586925
t:0.021,S:4.364124442564891,Sloc:4.364124442564891,Sloc(species):0.0,Sum:4.364124442564891
t:0.0211,S:4.364124442564891,Sloc:4.364124442564891,Sloc(species):0.0,Sum:4.364124442564891
t:0.0212,S:4.364124442564891,Sloc:4.364124442564891,Sloc(species):0.0,Sum:4.364124442564891
t:0.0213,S:4.364037933369307,Sloc:4.364037933369307,Sloc(species):0.0,Sum:4.364037933369307
t:0.0214,S:4.363907612272246,Sloc:4.363907612272246,Sloc(species):0.0,Sum:4.363907612272246
t:0.0215,S:4.363907612272246,Sloc:4.363907612272246,Sloc(species):0.0,Sum:4.363907612272246
t:0.0216,S:4.3638631841536135,Sloc:4.3638631841536135,Sloc(species):0.0,Sum:4.3638631841536135
t:0.0217,S:4.3638631841536135,Sloc:4.3638631841536135,Sloc(species):0.0,Sum:4.3638631841536135
t:0.0218,S:4.363943978078571,Sloc:4.363943978078571,Sloc(species):0.0,Sum:4.363943978078571
t:0.0219,S:4.363943978078571,Sloc:4.363943978078571,Sloc(species):0.0,Sum:4.363943978078571
t:0.022,S:4.363943978078571,Sloc:4.363943978078571,Sloc(species):0.0,Sum:4.363943978078571
t:0.0221,S:4.363775608120835,Sloc:4.363775608120835,Sloc(species):0.0,Sum:4.363775608120835
t:0.0222,S:4.363775608120835,Sloc:4.363775608120835,Sloc(species):0.0,Sum:4.363775608120835
t:0.0223,S:4.363775608120835,Sloc:4.363775608120835,Sloc(species):0.0,Sum:4.363775608120835
t:0.0224,S:4.363775608120835,Sloc:4.363775608120835,Sloc(species):0.0,Sum:4.363775608120835
t:0.0225,S:4.363626534884102,Sloc:4.363626534884102,Sloc(species):0.0,Sum:4.363626534884102
t:0.0226,S:4.363638120550358,Sloc:4.363638120550358,Sloc(species):0.0,Sum:4.363638120550358
t:0.0227,S:4.363638120550358,Sloc:4.363638120550358,Sloc(species):0.0,Sum:4.363638120550358
t:0.0228,S:4.363694485521986,Sloc:4.363694485521986,Sloc(species):0.0,Sum:4.363694485521986
t:0.0229,S:4.363500036854214,Sloc:4.363500036854214,Sloc(species):0.0,Sum:4.363500036854214
t:0.023,S:4.36366840681195,Sloc:4.36366840681195,Sloc(species):0.0,Sum:4.36366840681195
t:0.0231,S:4.36366840681195,Sloc:4.36366840681195,Sloc(species):0.0,Sum:4.36366840681195
t:0.0232,S:4.36366840681195,Sloc:4.36366840681195,Sloc(species):0.0,Sum:4.36366840681195
t:0.0233,S:4.363400456728241,Sloc:4.363400456728241,Sloc(species):0.0,Sum:4.363400456728241
t:0.0234,S:4.363216373884687,Sloc:4.363216373884687,Sloc(species):0.0,Sum:4.363216373884687
t:0.0235,S:4.363216373884687,Sloc:4.363216373884687,Sloc(species):0.0,Sum:4.363216373884687
t:0.0236,S:4.363216373884687,Sloc:4.363216373884687,Sloc(species):0.0,Sum:4.363216373884687
t:0.0237,S:4.363216373884687,Sloc:4.363216373884687,Sloc(species):0.0,Sum:4.363216373884687
t:0.0238,S:4.3632850488556265,Sloc:4.3632850488556265,Sloc(species):0.0,Sum:4.3632850488556265
t:0.0239,S:4.3632850488556265,Sloc:4.3632850488556265,Sloc(species):0.0,Sum:4.3632850488556265
